RunID,SeriesID,PrintSize,Artwork,PatchName,ExpectedRGB,MeasuredRGB,DeltaNotes
,INF001,6x8,Nocturne Steel,BlackPatch,"10,10,10",,
,INF001,6x8,Nocturne Steel,Gray18Patch,"118,118,118",,
,INF001,6x8,Nocturne Steel,Step_0pct,"0,0,0",,
,INF001,6x8,Nocturne Steel,Step_3pct,"8,8,8",,
,INF001,6x8,Nocturne Steel,Step_5pct,"13,13,13",,
,INF001,6x8,Nocturne Steel,Step_7pct,"18,18,18",,
,INF001,6x8,Nocturne Steel,Step_10pct,"26,26,26",,
,INF001,6x8,Fused Current,BlackPatch,"10,10,10",,
,INF001,6x8,Fused Current,Gray18Patch,"118,118,118",,
,INF001,6x8,Fused Current,Step_0pct,"0,0,0",,
,INF001,6x8,Fused Current,Step_3pct,"8,8,8",,
,INF001,6x8,Fused Current,Step_5pct,"13,13,13",,
,INF001,6x8,Fused Current,Step_7pct,"18,18,18",,
,INF001,6x8,Fused Current,Step_10pct,"26,26,26",,
,INF001,6x8,Human Fraction,BlackPatch,"10,10,10",,
,INF001,6x8,Human Fraction,Gray18Patch,"118,118,118",,
,INF001,6x8,Human Fraction,Step_0pct,"0,0,0",,
,INF001,6x8,Human Fraction,Step_3pct,"8,8,8",,
,INF001,6x8,Human Fraction,Step_5pct,"13,13,13",,
,INF001,6x8,Human Fraction,Step_7pct,"18,18,18",,
,INF001,6x8,Human Fraction,Step_10pct,"26,26,26",,
,INF001,6x8,Combustion Vector,BlackPatch,"10,10,10",,
,INF001,6x8,Combustion Vector,Gray18Patch,"118,118,118",,
,INF001,6x8,Combustion Vector,Step_0pct,"0,0,0",,
,INF001,6x8,Combustion Vector,Step_3pct,"8,8,8",,
,INF001,6x8,Combustion Vector,Step_5pct,"13,13,13",,
,INF001,6x8,Combustion Vector,Step_7pct,"18,18,18",,
,INF001,6x8,Combustion Vector,Step_10pct,"26,26,26",,
